"Municipality","MunicipalityID","Year","PcgEduSuperior","PcgEduMediaSuperior","PcgEduBasico","PcgSinEdu"
"Bácum",26012,2015,13.2978723404255,18.0851063829787,59.5744680851064,9.04255319148936
"Bácum",26012,2016,10.5960264900662,7.94701986754967,75.4966887417219,5.96026490066225
"Bácum",26012,2017,23.3532934131737,11.9760479041916,64.0718562874251,0.598802395209581
"Bácum",26012,2018,10.4545454545455,25.9090909090909,59.0909090909091,4.54545454545455
"Bácum",26012,2019,7.77777777777778,28.1481481481481,61.8518518518518,2.22222222222222
"Bácum",26012,2020,14.5695364238411,25.1655629139073,59.6026490066225,0.662251655629139
"Bácum",26012,2021,10.9154929577465,20.4225352112676,66.5492957746479,2.11267605633803
"Baviácora",26014,2010,11.3636363636364,13.3838383838384,68.4343434343434,6.81818181818182
"Baviácora",26014,2011,9.2436974789916,8.68347338935574,77.3109243697479,4.76190476190476
"Baviácora",26014,2012,9.94318181818182,13.0681818181818,74.7159090909091,2.27272727272727
"Baviácora",26014,2013,11.8721461187215,12.3287671232877,72.6027397260274,3.19634703196347
"Benito Juárez",26071,2010,12.1212121212121,21.5151515151515,62.4242424242424,3.93939393939394
"Benito Juárez",26071,2011,15.4761904761905,20.8333333333333,62.202380952381,1.48809523809524
"Benito Juárez",26071,2012,11.7469879518072,14.4578313253012,72.289156626506,1.50602409638554
"Benito Juárez",26071,2013,7.53564154786151,15.6822810590631,73.7270875763748,3.05498981670061
"Benito Juárez",26071,2014,20.75,18,57.25,4
"Benito Juárez",26071,2015,18.4538653366584,13.9650872817955,63.3416458852868,4.23940149625935
"Benito Juárez",26071,2016,13.6666666666667,18.6666666666667,61.6666666666667,6
"Benito Juárez",26071,2017,9.03790087463557,18.0758017492711,67.3469387755102,5.53935860058309
"Benito Juárez",26071,2018,14.8584905660377,20.2830188679245,60.377358490566,4.4811320754717
"Benito Juárez",26071,2019,11.7647058823529,23.0392156862745,61.2745098039216,3.92156862745098
"Benito Juárez",26071,2021,8.05687203791469,26.0663507109005,60.6635071090047,5.21327014218009
"Benito Juárez",26071,2022,7.14285714285714,25,60.7142857142857,7.14285714285714
"Caborca",26017,2010,0,6.86274509803922,82.3529411764706,10.7843137254902
"Caborca",26017,2011,0,7.72946859903382,82.6086956521739,9.66183574879227
"Caborca",26017,2012,0,12.7450980392157,79.4117647058823,7.84313725490196
"Caborca",26017,2013,5.55555555555556,14.6464646464646,76.7676767676768,3.03030303030303
"Caborca",26017,2014,7.23192019950125,22.9426433915212,60.3491271820449,9.47630922693267
"Caborca",26017,2015,7.84313725490196,10.2941176470588,73.5294117647059,8.33333333333333
"Caborca",26017,2016,7.9646017699115,12.3893805309735,70.2064896755162,9.43952802359882
"Caborca",26017,2017,9.79381443298969,24.4845360824742,61.0824742268041,4.63917525773196
"Caborca",26017,2018,17.1270718232044,19.3370165745856,58.3793738489871,5.15653775322284
"Caborca",26017,2019,11.0687022900763,15.0127226463104,66.412213740458,7.50636132315522
"Caborca",26017,2020,17.037037037037,12.2222222222222,65.1851851851852,5.55555555555556
"Caborca",26017,2021,5.95238095238095,14.2857142857143,70.2380952380952,9.52380952380952
"Caborca",26017,2022,21.0526315789474,13.5964912280702,57.8947368421053,7.45614035087719
"Cajeme",26018,2010,18.8914683691236,18.1369704004643,57.225769007545,5.74579222286709
"Cajeme",26018,2011,19.3597100573845,18.7556629417095,57.8979160374509,3.98671096345515
"Cajeme",26018,2012,20.3155183515776,15.4539600772698,61.3007083065035,2.92981326464907
"Cajeme",26018,2013,22.1772710555351,19.0878999632218,55.4615667524825,3.27326222876057
"Cajeme",26018,2014,25.704870010985,19.2603441962651,51.8491395093372,3.18564628341267
"Cajeme",26018,2015,25.7123002084781,23.5580264072272,46.7685892981237,3.96108408617095
"Cajeme",26018,2016,24.2735042735043,22.2222222222222,50.7692307692308,2.73504273504274
